temperature,humidity,moisture,weight,vibration_sensor,accel_x,accel_y,accel_z,status
31.11635418,38.77849439,30.87060453,813.9247242,0.864701222,0.263756406,-2.668557782,8.856434063,Crack Detected
29.71241123,57.92740176,24.06811355,1161.364923,0.398058723,0.139611907,0.781581136,8.732983888,Normal
33.78282337,39.43729592,7.699222951,948.5561216,0.550553611,0.276295017,0.293124741,9.784058077,Normal
21.9671145,56.72970206,30.97752512,1005.70403,0.106470759,1.498387532,0.940668315,10.2679518,Normal
23.15842481,47.71639207,30.45568015,1103.536839,0.300353581,-0.361662331,-0.203054776,9.813739495,Normal
35.41572606,53.14289315,66.64803786,713.0274383,0.915464237,0.036386361,-0.451853382,7.65744573,Crack Detected
27.77526805,36.01642926,2.778573193,858.3596191,0.381344008,0.055596995,-1.066025971,8.984696149,Normal
33.9817001,73.91873389,7.575208536,724.4446415,0.96033899,0.977613596,0.084387125,12.35486247,Crack Detected
27.71157719,42.95148489,34.04676598,781.3420069,1.030001715,-0.052856322,2.463982795,10.32473638,Crack Detected
26.40777889,57.81175336,25.18271719,1020.795985,0.374548402,-0.653355646,-1.40922213,11.57425337,Normal
27.74420571,46.58695485,47.56399179,1276.063915,0.244718315,1.102607419,-0.475661661,9.99657437,Normal
25.58071282,52.7251799,32.59056625,754.9090906,0.855558833,3.401875562,-1.540350032,9.303343057,Crack Detected
31.32808497,44.11638436,13.63892913,844.4374424,0.845440619,0.103905144,2.96485133,9.897271158,Crack Detected
29.35482942,50.72375516,31.39964907,850.3203452,0.808296128,-0.025141308,1.276517463,7.181268522,Crack Detected
28.31806527,44.1315732,21.93256397,759.1937257,0.515251648,0.992087442,0.625384454,9.136183141,Normal
31.6125233,54.71080404,29.19681522,602.512939,0.979280238,-2.002486366,0.006536084,10.70543875,Crack Detected
28.86053721,50.93365193,40.16119477,701.9693107,0.334014876,-0.180107601,-1.678643786,10.51481883,Normal
29.97022645,52.47333302,58.88890981,737.1892991,0.907325817,2.226179284,0.642858587,10.08112816,Crack Detected
29.42763814,59.4916607,17.63898499,843.2029353,0.849417444,0.7951159,-0.815336968,12.204914,Crack Detected
28.63496626,46.12946974,21.88631833,840.2455085,0.833795328,-0.393026578,-1.270307895,7.633442519,Crack Detected
25.47101393,43.4760154,48.56930297,827.4513361,0.961447747,0.707184164,0.619446234,11.88168408,Crack Detected
27.35266518,53.30149949,44.34260153,761.5932179,0.409124091,-0.618925116,-0.566970024,8.850318958,Normal
36.48497273,51.01422964,7.390296278,1018.035699,0.177495302,-0.474431054,0.993764144,9.337459892,Normal
33.29071518,44.15500784,4.982587284,827.7198307,0.844399821,-0.571178247,-0.041094753,11.80857272,Crack Detected
27.20600214,55.10732066,28.02656721,987.9890283,0.132724443,-0.948018229,-0.923343826,10.38932829,Normal
24.16067346,44.2624445,23.84152017,846.2966866,0.834585911,-0.184399632,-0.651594721,7.652147532,Crack Detected
32.97745449,56.86775489,36.07443296,868.6141611,0.648541369,0.740002225,0.072694265,9.379257583,Normal
25.47101393,43.4760154,48.56930297,827.4513361,0.961447747,0.707184164,0.619446234,11.88168408,Crack Detected
33.9817001,73.91873389,7.575208536,724.4446415,0.96033899,0.977613596,0.084387125,12.35486247,Crack Detected
29.97022645,52.47333302,58.88890981,737.1892991,0.907325817,2.226179284,0.642858587,10.08112816,Crack Detected
17.56095672,59.16706473,43.6158828,681.5735332,0.616064441,1.039479085,0.354943689,9.927880982,Normal
21.94868441,61.91720302,48.37282142,1269.130827,0.275924755,-0.237978203,1.284718691,10.66281863,Normal
21.15474848,41.07535032,15.96817403,1143.574195,0.480105405,0.207570245,-0.273278032,10.8876371,Normal
33.57618292,57.27547374,48.511752,1014.091918,0.348589918,-0.323999059,0.272382117,9.772068142,Normal
28.25921302,50.80713727,24.95721295,793.229738,1.044092869,-0.818963217,-2.529981226,8.91828405,Crack Detected
36.08979576,38.3101909,41.91640034,960.8328273,0.725667136,-1.299761705,-1.105946036,11.12439494,Normal
31.44584322,62.70088025,48.37472112,859.6203789,0.825557464,0.819428281,-0.136271011,7.363690257,Crack Detected
30.51242321,42.37418571,-1.39662221,1504.304886,0.711166777,1.141397597,0.909192162,9.604063257,Normal
34.06262911,36.35323674,4.045567802,1083.475672,0.457323905,0.96090243,0.230258924,10.44702646,Normal
21.63553049,56.12884072,31.79088376,656.7393754,0.853067643,-1.677045479,0.611375293,6.401671469,Crack Detected
33.9817001,73.91873389,7.575208536,724.4446415,0.96033899,0.977613596,0.084387125,12.35486247,Crack Detected
44.67828951,53.08128337,14.31174259,698.2218277,0.57684196,0.063586001,-1.389480878,8.317990563,Normal
29.35482942,50.72375516,31.39964907,850.3203452,0.808296128,-0.025141308,1.276517463,7.181268522,Crack Detected
25.38824335,54.26025012,-4.196847344,1152.946404,0.741547424,-1.684955006,0.95927526,10.04752799,Normal
43.16191032,49.96519151,38.4918142,791.2473803,0.82605369,2.390180916,0.442853408,10.29942866,Crack Detected
33.04619415,46.74545671,3.804136197,1143.273113,0.636262744,0.728822563,0.333729245,11.20370576,Normal
24.35968723,31.07915074,22.93500869,954.5869669,0.563351743,-0.395910347,2.286168376,10.27930222,Normal
39.74171322,54.92437339,23.3295078,871.6664908,0.275393055,-0.154602594,1.148490103,10.77899552,Normal
36.27701805,47.38432777,39.48760464,934.950395,0.484080808,-0.441373375,-0.061751477,10.39515295,Normal
26.99626035,41.62258326,39.77403382,1043.281237,0.454938064,-1.60513055,-2.454957686,9.41212959,Normal
27.51341427,61.09371569,9.982363918,893.3966212,0.503528337,-0.897528183,0.36947199,10.84439977,Normal
28.63496626,46.12946974,21.88631833,840.2455085,0.833795328,-0.393026578,-1.270307895,7.633442519,Crack Detected
31.81224941,66.96854074,25.2690838,1375.769524,0.587255659,-0.213460673,0.38377512,7.950755134,Normal
31.65823834,47.55600164,21.07420941,776.1676466,0.874999289,-0.972184828,-2.289263401,9.0377869,Crack Detected
21.72571664,38.84782772,36.24594388,1436.164024,0.757278015,0.235055099,-0.831078149,8.835153781,Normal
43.16191032,49.96519151,38.4918142,791.2473803,0.82605369,2.390180916,0.442853408,10.29942866,Crack Detected
44.07327222,49.53838056,37.30404836,461.7600488,0.618697164,-1.046840953,0.215027785,9.303730566,Normal
25.47101393,43.4760154,48.56930297,827.4513361,0.961447747,0.707184164,0.619446234,11.88168408,Crack Detected
30.98260585,42.51909017,23.81916518,1195.919648,0.509280406,0.402487839,-0.454332061,8.461765714,Normal
26.67288851,42.26360155,14.27030781,1111.084571,0.765860299,0.366887009,-0.843397609,10.08287448,Normal
39.41012248,54.57224812,12.12527192,1062.166446,0.452680941,-1.97565914,-1.191892327,8.158224026,Normal
29.97022645,52.47333302,58.88890981,737.1892991,0.907325817,2.226179284,0.642858587,10.08112816,Crack Detected
25.1346553,50.97488939,48.80897696,864.2259569,0.831665109,0.762327777,-0.434816334,7.66992779,Crack Detected
24.71144536,44.58700905,36.99704536,812.3666543,0.204229061,-0.245927039,1.168463312,9.879579332,Normal
25.92312186,31.60362127,19.20279674,920.3086859,0.262560289,0.355648213,-0.747327864,10.01737445,Normal
43.16191032,49.96519151,38.4918142,791.2473803,0.82605369,2.390180916,0.442853408,10.29942866,Crack Detected
27.97801288,61.7384202,10.44791357,809.244024,0.549334542,0.219755807,0.273092396,9.211492591,Normal
31.65823834,47.55600164,21.07420941,776.1676466,0.874999289,-0.972184828,-2.289263401,9.0377869,Crack Detected
31.32808497,44.11638436,13.63892913,844.4374424,0.845440619,0.103905144,2.96485133,9.897271158,Crack Detected
25.36313497,54.63444938,20.53322439,474.6820551,0.424630955,0.492987482,-1.186562449,11.04347561,Normal
25.47101393,43.4760154,48.56930297,827.4513361,0.961447747,0.707184164,0.619446234,11.88168408,Crack Detected
32.7884553,51.70484681,28.20873495,989.7976864,0.539181499,-0.389483461,-0.334793339,10.08505011,Normal
30.84680412,53.1627378,19.00780258,1272.209473,0.587321198,-0.784285592,-0.239946401,8.89066105,Normal
37.97221196,59.03891401,17.86086121,1048.882552,0.54157062,0.488795738,1.120188607,9.260072008,Normal
32.22072586,50.30268671,16.32789525,1025.574499,0.699268442,-1.11513742,0.428364138,8.821750576,Normal
28.25921302,50.80713727,24.95721295,793.229738,1.044092869,-0.818963217,-2.529981226,8.91828405,Crack Detected
23.77141312,38.79801199,37.49589409,1220.416587,0.463409321,1.200685461,0.801009577,10.74434982,Normal
25.1346553,50.97488939,48.80897696,864.2259569,0.831665109,0.762327777,-0.434816334,7.66992779,Crack Detected
35.41572606,53.14289315,66.64803786,713.0274383,0.915464237,0.036386361,-0.451853382,7.65744573,Crack Detected
35.76950367,73.44053779,33.75816942,1329.199712,0.288608967,-0.59771951,-0.125848706,10.68433028,Normal
25.59019618,57.56594119,40.13134908,892.0327338,0.8655538,2.070252595,0.107114577,10.5517669,Crack Detected
19.2332854,40.79511212,12.09421827,821.0860305,0.608253254,-0.541182697,1.392026693,9.561830517,Normal
24.61311962,61.11145215,7.579946697,570.833599,0.845263589,-2.027353343,-2.257730766,9.985722586,Crack Detected
29.73446599,63.43546507,27.56671276,917.4211114,0.416429501,0.844535765,-0.927770282,9.603730769,Normal
28.63496626,46.12946974,21.88631833,840.2455085,0.833795328,-0.393026578,-1.270307895,7.633442519,Crack Detected
36.87242491,49.74230644,31.55364783,707.8635805,0.303259535,0.47342598,1.004341547,10.69061264,Normal
29.31344517,47.06433163,12.66537728,1313.902954,0.648529191,-0.147986449,-1.014342846,8.546701073,Normal
28.62598848,47.58182087,21.84498384,925.3580734,0.353371894,-0.394414171,1.238167814,10.00682985,Normal
35.41572606,53.14289315,66.64803786,713.0274383,0.915464237,0.036386361,-0.451853382,7.65744573,Crack Detected
24.61311962,61.11145215,7.579946697,570.833599,0.845263589,-2.027353343,-2.257730766,9.985722586,Crack Detected
33.29071518,44.15500784,4.982587284,827.7198307,0.844399821,-0.571178247,-0.041094753,11.80857272,Crack Detected
24.61311962,61.11145215,7.579946697,570.833599,0.845263589,-2.027353343,-2.257730766,9.985722586,Crack Detected
30.14159188,50.43710397,20.03830928,859.8777683,0.958503315,0.873015775,2.180909799,9.442693951,Crack Detected
42.74504854,32.99879131,14.5925331,1099.586553,0.354877825,0.748865269,-0.591554937,10.22652047,Normal
32.93528767,45.01535917,29.04396419,676.503848,0.737683844,-1.704060025,1.195323212,11.00048747,Normal
21.86344136,52.0106699,35.68293124,765.6247102,0.552588727,0.500014347,-1.319537084,8.91950579,Normal
24.67158651,45.71571565,31.50337844,806.7659224,0.851587015,-0.2142892,-0.172779916,7.554820195,Crack Detected
25.59019618,57.56594119,40.13134908,892.0327338,0.8655538,2.070252595,0.107114577,10.5517669,Crack Detected
31.32808497,44.11638436,13.63892913,844.4374424,0.845440619,0.103905144,2.96485133,9.897271158,Crack Detected
31.32808497,44.11638436,13.63892913,844.4374424,0.845440619,0.103905144,2.96485133,9.897271158,Crack Detected
28.39307079,66.23529211,51.06458258,1146.296604,0.856460617,0.279439091,-0.140102709,8.944130547,Normal
43.16191032,49.96519151,38.4918142,791.2473803,0.82605369,2.390180916,0.442853408,10.29942866,Crack Detected
33.12815467,33.77679387,11.40494341,768.8080827,0.484987756,-0.715617479,0.388175977,9.807570295,Normal
28.25921302,50.80713727,24.95721295,793.229738,1.044092869,-0.818963217,-2.529981226,8.91828405,Crack Detected
24.61311962,61.11145215,7.579946697,570.833599,0.845263589,-2.027353343,-2.257730766,9.985722586,Crack Detected
38.98332601,53.26852406,32.7894188,772.8834981,0.163992526,-0.565399801,-0.32742646,7.154118098,Normal
23.65334752,52.81934303,37.90392797,1253.479037,0.411702717,1.290226486,-0.095236082,10.9592787,Normal
43.16191032,49.96519151,38.4918142,791.2473803,0.82605369,2.390180916,0.442853408,10.29942866,Crack Detected
25.59019618,57.56594119,40.13134908,892.0327338,0.8655538,2.070252595,0.107114577,10.5517669,Crack Detected
17.18833171,42.40816454,30.73246687,1019.330783,0.673072377,1.063342985,0.066794968,10.14581808,Normal
31.44584322,62.70088025,48.37472112,859.6203789,0.825557464,0.819428281,-0.136271011,7.363690257,Crack Detected
29.66064309,51.33678838,30.82731836,799.1950773,0.827000347,-3.419595586,-0.904404416,11.43154422,Crack Detected
